Hillside_position	DQ.C	DQ.S	DQ.A	DQ.B	DQ.T	DQ.R	DQ.E	DQ.O	DQ.Q	LA
Soalheira fria	6.50	7.00	7.00	7.00	7.00	7.00	6.50	6.50	89.67	37.73
Soalheira fria	6.67	7.00	6.33	7.00	7.00	6.67	6.67	6.67	90.00	48.54
Soalheira fria	6.33	6.67	6.67	6.67	7.00	7.00	7.00	7.00	90.33	36.07
Soalheira fria	6.67	7.00	7.33	7.00	7.00	7.33	6.67	7.00	92.00	NA
Soalheira fria	7.00	7.33	6.83	6.67	7.00	7.50	7.00	7.00	92.67	32.12
Soalheira fria	7.17	7.50	7.17	7.50	7.67	7.50	7.00	7.17	94.67	37.97
Soalheira fria	7.00	7.83	7.50	7.33	7.50	7.50	7.00	7.33	95.67	41.55
Soalheira quente	5.00	5.33	5.33	5.33	5.00	5.00	5.33	5.33	77.67	58.80
Soalheira quente	5.00	5.33	5.33	5.67	5.00	5.33	5.33	5.67	78.67	39.21
Soalheira quente	5.33	5.33	5.67	5.67	5.00	5.67	5.67	5.67	79.00	NA
Soalheira quente	5.33	5.33	5.67	5.67	5.33	5.00	5.67	5.33	79.00	50.63
Soalheira quente	5.50	5.50	5.50	6.00	5.50	5.50	5.50	6.00	80.33	NA
Soalheira quente	5.67	5.67	5.67	5.67	5.33	5.67	5.33	5.67	80.67	55.79
Soalheira quente	5.67	5.33	6.00	5.33	5.33	6.00	5.67	5.67	80.67	NA
Soalheira quente	5.67	5.67	5.67	5.67	5.33	5.33	5.67	5.67	80.67	NA
Soalheira quente	6.00	5.33	5.67	6.00	5.67	5.33	5.67	5.67	81.00	44.10
Soalheira quente	5.67	5.33	5.67	5.67	5.67	5.33	5.67	6.00	81.00	NA
Soalheira quente	6.00	5.67	5.67	5.33	5.33	5.67	5.67	5.67	81.00	57.19
Soalheira quente	5.33	5.67	5.67	5.67	5.00	5.67	5.67	6.33	81.00	NA
Soalheira quente	5.33	6.00	5.67	6.00	5.33	6.00	5.33	5.67	81.33	NA
Soalheira quente	6.00	6.00	6.00	6.00	5.00	5.33	5.67	5.67	81.67	55.46
Soalheira quente	5.67	5.67	6.33	5.67	5.67	5.33	5.67	5.67	81.67	64.12
Soalheira quente	5.67	6.00	5.67	6.00	5.67	5.67	5.33	6.00	82.00	49.35
Soalheira quente	5.67	5.67	5.33	6.00	5.67	5.67	6.00	6.00	82.00	46.10
Soalheira quente	6.00	5.67	6.00	6.00	5.67	5.33	5.33	6.00	82.00	43.52
Soalheira quente	5.67	5.67	5.67	6.00	5.33	6.00	6.00	5.67	82.00	NA
Soalheira quente	5.67	5.67	5.67	6.00	6.00	5.67	5.67	6.00	82.33	48.74
Soalheira quente	6.00	6.00	5.50	6.00	6.00	5.50	6.00	5.50	82.33	45.89
Soalheira quente	6.00	5.67	6.00	5.67	5.67	5.67	5.67	6.00	82.33	NA
Soalheira quente	6.00	5.67	5.67	5.67	5.67	5.67	6.00	6.33	82.67	43.77
Soalheira quente	6.00	6.33	6.00	6.00	5.33	5.67	5.67	5.67	82.67	55.61
Soalheira quente	5.67	6.00	5.67	6.00	5.67	6.00	5.67	6.00	82.67	NA
Soalheira quente	6.00	5.67	6.00	6.00	5.67	5.33	6.00	6.00	82.67	55.05
Soalheira quente	6.00	5.67	6.00	6.00	5.67	5.33	6.33	6.00	82.67	36.68
Soalheira quente	5.67	6.00	6.33	6.00	5.33	6.00	5.67	5.67	82.67	45.14
Soalheira quente	6.00	5.67	6.00	5.67	5.67	5.67	6.00	6.00	82.67	58.31
Soalheira quente	5.67	5.67	6.00	5.67	6.33	6.00	5.67	5.67	82.67	NA
Soalheira quente	6.00	5.67	6.00	6.00	5.67	5.67	6.00	6.00	83.00	51.71
Soalheira quente	6.00	5.67	5.67	6.33	5.67	5.67	6.00	6.00	83.00	45.58
Soalheira quente	6.00	6.00	6.00	6.00	5.33	5.83	6.00	5.83	83.00	39.67
Soalheira quente	6.00	5.67	6.00	6.00	5.67	5.67	6.00	6.00	83.00	48.99
Soalheira quente	5.67	6.00	6.00	6.33	5.67	5.67	6.00	6.00	83.00	NA
Soalheira quente	6.00	5.67	6.00	5.67	6.33	5.67	6.00	6.00	83.33	58.67
Soalheira quente	6.00	5.67	6.00	6.00	6.17	5.33	6.17	6.00	83.33	36.46
Soalheira quente	6.00	6.00	6.00	6.00	6.00	6.00	5.67	5.67	83.33	NA
Soalheira quente	6.00	6.00	6.00	5.67	5.67	5.67	6.33	6.00	83.33	55.81
Soalheira quente	6.00	5.67	6.33	6.00	5.67	6.00	5.67	6.00	83.33	39.07
Soalheira quente	6.00	5.67	6.00	5.67	6.00	6.00	6.00	6.00	83.33	NA
Soalheira quente	6.00	5.67	6.00	6.17	6.00	5.83	6.00	6.00	83.67	51.83
Soalheira quente	6.00	5.67	6.00	6.33	6.00	5.67	6.00	6.00	83.67	50.14
Soalheira quente	6.00	5.67	6.17	5.83	5.67	6.17	6.00	6.17	83.67	52.17
Soalheira quente	6.00	5.67	6.00	6.33	6.00	6.00	6.00	6.00	84.00	46.88
